Judul,Link
01Menkomdigi Nonaktifkan 11 Pegawai Terlibat Judi OnlineTeknologi,https://www.cnnindonesia.com/teknologi/20241104153523-185-1162886/menkomdigi-nonaktifkan-11-pegawai-terlibat-judi-online
Meutya Pastikan Bakal Pecat Tak Hormat Pegawai Komdigi Terlibat Judol,https://www.cnnindonesia.com/teknologi/20241101163435-185-1162068/meutya-pastikan-bakal-pecat-tak-hormat-pegawai-komdigi-terlibat-judol
Menkomdigi Pastikan Tindak Tegas Pegawai Terlibat Judol,https://www.cnnindonesia.com/teknologi/20241101150812-185-1162011/menkomdigi-pastikan-tindak-tegas-pegawai-terlibat-judol
"Respons Perubahan Kominfo Jadi Komdigi, Telkom Siap Support",https://www.cnnindonesia.com/teknologi/20241030175544-185-1161307/respons-perubahan-kominfo-jadi-komdigi-telkom-siap-support
"Menkomdigi Bertemu Dubes Australia, Bicara Investasi-Keamanan Siber",https://www.cnnindonesia.com/teknologi/20241030153135-185-1161250/menkomdigi-bertemu-dubes-australia-bicara-investasi-keamanan-siber
Menkomdigi Ajak Pemuda Ikut Bangun Sektor Digital Nasional,https://www.cnnindonesia.com/teknologi/20241028163020-185-1160492/menkomdigi-ajak-pemuda-ikut-bangun-sektor-digital-nasional
Menkomdigi Bagi Momen Naik Hercules Jelang Pembekalan di Akmil,https://www.cnnindonesia.com/teknologi/20241024173745-185-1159262/menkomdigi-bagi-momen-naik-hercules-jelang-pembekalan-di-akmil
"Prabowo Mau Entaskan Kemiskinan di RI, Bisa Lewat Digitalisasi?",https://www.cnnindonesia.com/teknologi/20241022104253-185-1158242/prabowo-mau-entaskan-kemiskinan-di-ri-bisa-lewat-digitalisasi
"Tangkal Serangan Siber, Prabowo Wajibkan Instansi Negara Punya CSIRT",https://www.cnnindonesia.com/teknologi/20241022100946-185-1158223/tangkal-serangan-siber-prabowo-wajibkan-instansi-negara-punya-csirt
"Pamitan dari Kominfo, Budi Arie Lempar Pantun Ayu Tingting",https://www.cnnindonesia.com/teknologi/20241021151032-185-1157956/pamitan-dari-kominfo-budi-arie-lempar-pantun-ayu-tingting
"Jadi Menkomdigi, Meutya Hafid Fokus Benahi 3 Masalah Digital di RI",https://www.cnnindonesia.com/teknologi/20241021134538-185-1157921/jadi-menkomdigi-meutya-hafid-fokus-benahi-3-masalah-digital-di-ri
Meutya Hafid Ungkap Alasan Prabowo Ubah Nama Kominfo Jadi Komdigi,https://www.cnnindonesia.com/teknologi/20241021130732-185-1157910/meutya-hafid-ungkap-alasan-prabowo-ubah-nama-kominfo-jadi-komdigi
"Meutya Hafid, Eks Jurnalis Kini Jadi Menteri Komunikasi dan Digital",https://www.cnnindonesia.com/teknologi/20241020142018-185-1157484/meutya-hafid-eks-jurnalis-kini-jadi-menteri-komunikasi-dan-digital
Prabowo Ganti Nama Kominfo Jadi Kementerian Komunikasi dan Digital,https://www.cnnindonesia.com/teknologi/20241021065201-185-1157740/prabowo-ganti-nama-kominfo-jadi-kementerian-komunikasi-dan-digital
Prabowo Tunjuk Meutya Hafid Jadi Menteri Komunikasi dan Digital,https://www.cnnindonesia.com/teknologi/20241020141935-185-1157482/prabowo-tunjuk-meutya-hafid-jadi-menteri-komunikasi-dan-digital
Budi Arie Resmikan Gedung Transformasi Digital di Yogya,https://www.cnnindonesia.com/teknologi/20241011185403-185-1154495/budi-arie-resmikan-gedung-transformasi-digital-di-yogya
"Pembangunan PDN Cikarang Hampir 90 Persen, Target Operasi Awal 2025",https://www.cnnindonesia.com/teknologi/20241010173818-185-1153958/pembangunan-pdn-cikarang-hampir-90-persen-target-operasi-awal-2025
Budi Arie Respons Isu Meutya Hafid Jadi Menkominfo Era Prabowo,https://www.cnnindonesia.com/teknologi/20241001171029-185-1150465/budi-arie-respons-isu-meutya-hafid-jadi-menkominfo-era-prabowo
Sinergi Kominfo Sediakan Sistem Informasi Kebencanaan Lewat TV Digital,https://www.cnnindonesia.com/teknologi/20240925155407-190-1148275/sinergi-kominfo-sediakan-sistem-informasi-kebencanaan-lewat-tv-digital
Warga RI Bakal Waspada Tsunami dari Peringatan Dini TV Digital,https://www.cnnindonesia.com/teknologi/20240924163258-185-1147832/warga-ri-bakal-waspada-tsunami-dari-peringatan-dini-tv-digital
Menkominfo Respons Positif Ide Pembentukan Angkatan Siber,https://www.cnnindonesia.com/teknologi/20240909104904-185-1142438/menkominfo-respons-positif-ide-pembentukan-angkatan-siber
"Serangan Phishing Targetkan Email Karyawan Perusahaan, Cek Modusnya",https://www.cnnindonesia.com/teknologi/20240430141206-185-1092270/serangan-phishing-targetkan-email-karyawan-perusahaan-cek-modusnya
"Gandeng BSSN, Otorita Waspada Serangan Siber Saat HUT RI di IKN",https://www.cnnindonesia.com/teknologi/20240816185221-185-1134035/gandeng-bssn-otorita-waspada-serangan-siber-saat-hut-ri-di-ikn
"Hacker Bobol Penyedia Layanan IT Pentagon, Data Sensitif Ikut Bocor?",https://www.cnnindonesia.com/teknologi/20240724104136-185-1124892/hacker-bobol-penyedia-layanan-it-pentagon-data-sensitif-ikut-bocor
"Menkominfo Gaet PBNU, Bicara Soal Pemimpin Digital yang Kompeten",https://www.cnnindonesia.com/teknologi/20240722165739-185-1124192/menkominfo-gaet-pbnu-bicara-soal-pemimpin-digital-yang-kompeten
Tim SAR Sisir Perairan Dangkal Cari Kapal BAKTI Kominfo Hilang Kontak,https://www.cnnindonesia.com/teknologi/20240722135013-185-1124097/tim-sar-sisir-perairan-dangkal-cari-kapal-bakti-kominfo-hilang-kontak
"Daftar PR Dirjen Aptika Baru, Berantas Judol Sampai Turunan Aturan PDP",https://www.cnnindonesia.com/teknologi/20240719160155-185-1123323/daftar-pr-dirjen-aptika-baru-berantas-judol-sampai-turunan-aturan-pdp
"Pesan Menkominfo ke Dirjen Aptika Baru, Termasuk Pemulihan PDNS 2",https://www.cnnindonesia.com/teknologi/20240719153701-185-1123313/pesan-menkominfo-ke-dirjen-aptika-baru-termasuk-pemulihan-pdns-2
"Hokky Situngkir, Fisikawan Batik yang Kini jadi Dirjen Aptika Kominfo",https://www.cnnindonesia.com/teknologi/20240719142536-185-1123262/hokky-situngkir-fisikawan-batik-yang-kini-jadi-dirjen-aptika-kominfo
GenbestTalk di Kabupaten Maros Dorong Muda-mudi Paham Bahaya Stunting,https://www.cnnindonesia.com/teknologi/20240712102923-190-1120430/genbesttalk-di-kabupaten-maros-dorong-muda-mudi-paham-bahaya-stunting
"Semuel Abrijani Mundur, Kominfo Tunjuk Ismail Jadi Plt Dirjen Aptika",https://www.cnnindonesia.com/teknologi/20240705165850-185-1118071/semuel-abrijani-mundur-kominfo-tunjuk-ismail-jadi-plt-dirjen-aptika
Pemerintah Investigasi Dugaan Password PDNS Dibocorkan Karyawan Vendor,https://www.cnnindonesia.com/teknologi/20240704111904-185-1117461/pemerintah-investigasi-dugaan-password-pdns-dibocorkan-karyawan-vendor
Dirjen Aptika Kominfo Semuel Pangerapan Mundur Imbas Ransomware PDNS,https://www.cnnindonesia.com/teknologi/20240704100612-185-1117428/dirjen-aptika-kominfo-semuel-pangerapan-mundur-imbas-ransomware-pdns
Pakar: Ada Indikasi Birokrasi yang Berantakan saat Bangun PDN,https://www.cnnindonesia.com/teknologi/20240629174651-185-1115731/pakar-ada-indikasi-birokrasi-yang-berantakan-saat-bangun-pdn
